Timestamp,dX,dY,X,Y
11:25:14.754759,4,26,96,54
11:25:14.767152,5,23,101,77
11:25:14.775799,6,21,107,98
11:25:14.787752,10,22,117,120
11:25:14.799755,11,24,128,144
11:25:14.808227,13,20,141,164
11:25:14.820751,1,5,142,169
11:25:14.828754,10,11,152,180
11:25:14.840804,19,15,171,195
11:25:14.853164,15,12,186,207
11:25:14.861811,15,15,201,222
11:25:14.873769,7,9,208,231
11:25:14.881760,6,7,214,238
11:25:14.890228,7,7,221,245
11:25:14.902186,4,4,225,249
11:25:14.914770,2,3,227,252
11:25:14.922801,1,2,228,254
11:25:14.935158,2,1,230,255
11:25:14.943166,1,1,231,256
11:25:14.955794,1,0,232,256
11:25:14.963796,1,0,233,256
